                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.5549,                 1.5168,                 2.3545,                      1,                0.33344,                 0.9575,                0.57368,                 1.3893,                 2.7621,                 2.7773,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.4626,                 1.3974,                 2.2902,                      1,                 0.3866,                0.96167,                 0.5778,                 1.4181,                 2.7138,                 2.8144,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.6462,                  1.612,                  2.367,                      1,                0.63907,                0.96643,                 0.5984,                 1.3898,                 2.6507,                 2.8087,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.4936,                  1.569,                 2.3158,                      1,                0.71964,                0.97192,                0.67347,                 1.3185,                 2.6962,                 2.6883,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.5222,                 1.5474,                 2.2824,                      1,                0.71964,                0.97192,                0.67347,                 1.3185,                 2.6962,                 2.6883,               0.000755,               0.000755,               0.000755
                     42,                 1.4221,                 1.4244,                 2.1962,                      1,                 0.6482,                0.97192,                0.61786,                 1.4029,                 2.6833,                  2.751,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.5069,                 1.4788,                 2.3793,                0.94621,                    0.9,                0.98591,                 0.6396,                 1.2936,                 2.2852,                 2.6748,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.3983,                 1.4634,                 2.1509,                0.94364,                    0.9,                0.98591,                 0.6392,                 1.2094,                  2.192,                 2.5301,             0.00071788,             0.00071788,             0.00071788
                     45,                  1.291,                 1.4749,                 1.9803,                0.94364,                    0.9,                0.98591,                 0.6392,                 1.2094,                  2.192,                 2.5301,              0.0007055,              0.0007055,              0.0007055
                     46,                  1.573,                   1.52,                   2.14,                      1,                0.94682,                  0.995,                 0.7271,                 1.1232,                 2.2654,                 2.2605,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.3681,                 1.4886,                 2.1861,                0.97566,                      1,                  0.995,                0.64974,                 1.1719,                 2.1997,                 2.1808,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.4969,                 1.4428,                 2.1084,                0.98122,                      1,                  0.995,                0.69058,                 1.0645,                 2.0057,                  2.091,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.3081,                 1.3706,                 1.8848,                0.98122,                      1,                  0.995,                0.69058,                 1.0645,                 2.0057,                  2.091,               0.000656,               0.000656,               0.000656
                     50,                 1.4414,                 1.5087,                 2.0607,                0.99521,                      1,                  0.995,                0.66006,                 1.0393,                 1.6867,                 2.0637,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.4761,                 1.4392,                 1.9706,                      1,                0.99782,                  0.995,                 0.6728,                 1.0568,                 1.6917,                 2.0933,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.3561,                 1.3462,                  1.992,                 0.9916,                      1,                  0.995,                0.66679,                  1.012,                 1.4823,                 2.0315,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.1972,                 1.1705,                 1.6779,                 0.9916,                      1,                  0.995,                0.66679,                  1.012,                 1.4823,                 2.0315,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.2739,                 1.2631,                 1.8246,                0.99291,                      1,                  0.995,                0.72657,                  1.154,                 1.3893,                 2.0494,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.2676,                 1.2658,                 1.8434,                0.99137,                      1,                  0.995,                0.70022,                 1.2463,                 1.3861,                  2.079,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.4588,                 1.4055,                 2.0195,                0.98739,                      1,                  0.995,                0.69463,                 1.2389,                 1.4919,                 2.0344,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.2426,                 1.1653,                 1.8182,                0.98739,                      1,                  0.995,                0.69463,                 1.2389,                 1.4919,                 2.0344,               0.000557,               0.000557,               0.000557
                     58,                 1.2676,                 1.1642,                 1.8683,                0.98733,                      1,                  0.995,                0.65618,                 1.1514,                 1.5784,                 1.9792,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.3928,                  1.299,                 2.0285,                0.98733,                      1,                  0.995,                0.71863,                 1.0247,                 1.4446,                 1.8401,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.1125,                 1.1987,                 1.6629,                 0.9892,                      1,                  0.995,                0.76233,                0.93735,                 1.3953,                 1.8069,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.3718,                 1.2766,                 1.9449,                 0.9892,                      1,                  0.995,                0.76233,                0.93735,                 1.3953,                 1.8069,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.2895,                 1.2387,                 1.9092,                0.98819,                      1,                  0.995,                0.76533,                0.90628,                  1.432,                 1.7689,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.2396,                 1.2376,                 1.8543,                0.98812,                      1,                  0.995,                0.75488,                0.93393,                  1.628,                 1.7408,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.2153,                 1.1337,                 1.6662,                0.99827,                      1,                  0.995,                0.80509,                0.92016,                 1.7569,                 1.7648,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.2835,                 1.2158,                 1.7698,                0.99827,                      1,                  0.995,                0.80509,                0.92016,                 1.7569,                 1.7648,               0.000458,               0.000458,               0.000458
                     66,                 1.2217,                  1.167,                 1.7381,                0.97162,                      1,                  0.995,                0.75546,                 0.9915,                 1.7096,                 1.8215,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.1643,                 1.0915,                  1.703,                0.99337,                      1,                  0.995,                0.71214,                 1.0635,                 1.3823,                 1.8414,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.1644,                 1.1391,                 1.8128,                0.99208,                      1,                  0.995,                0.77481,                0.98948,                 1.1205,                 1.7307,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.2659,                 1.1684,                 1.8332,                0.99208,                      1,                  0.995,                0.77481,                0.98948,                 1.1205,                 1.7307,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.1885,                 1.1711,                  1.786,                0.99165,                      1,                  0.995,                0.79016,                 0.9448,                 1.0387,                 1.6867,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.1389,                  1.054,                 1.7075,                0.99285,                      1,                  0.995,                0.75815,                0.92559,                 1.0328,                   1.66,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.0925,                 1.1491,                 1.6423,                0.99355,                      1,                  0.995,                0.81607,                0.88387,                 1.0095,                 1.6086,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.0876,                 1.1807,                 1.8285,                0.99355,                      1,                  0.995,                0.81607,                0.88387,                 1.0095,                 1.6086,               0.000359,               0.000359,               0.000359
                     74,                  1.172,                 1.0867,                 1.6954,                0.99348,                      1,                  0.995,                 0.7917,                 0.8568,                 1.0534,                 1.5742,             0.00034663,             0.00034663,             0.00034663
                     75,                 1.0691,                 1.1018,                 1.5815,                0.99302,                      1,                  0.995,                0.78276,                0.91722,                 1.0889,                 1.6073,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.1041,                 1.0804,                 1.6614,                0.99363,                      1,                  0.995,                0.75926,                0.93089,                  1.072,                 1.6084,             0.00032188,             0.00032188,             0.00032188
                     77,                 1.1006,                 1.0585,                 1.6848,                0.99363,                      1,                  0.995,                0.75926,                0.93089,                  1.072,                 1.6084,              0.0003095,              0.0003095,              0.0003095
                     78,                 1.1218,                 1.0607,                 1.6551,                0.99385,                      1,                  0.995,                0.78112,                0.86295,                 1.0429,                 1.5596,             0.00029713,             0.00029713,             0.00029713
                     79,                 1.1486,                 1.1404,                 1.7386,                0.99393,                      1,                  0.995,                0.79419,                0.83368,                 1.0108,                 1.5454,             0.00028475,             0.00028475,             0.00028475
                     80,                 1.1451,                 1.0711,                 1.6934,                0.99431,                      1,                  0.995,                 0.7982,                0.85764,                 1.0649,                 1.5765,             0.00027237,             0.00027237,             0.00027237
                     81,                 1.1322,                 1.0078,                 1.5917,                0.99431,                      1,                  0.995,                 0.7982,                0.85764,                 1.0649,                 1.5765,                0.00026,                0.00026,                0.00026
                     82,                 1.1992,                 1.1493,                 1.7612,                 0.9945,                      1,                  0.995,                0.78228,                0.88969,                 1.1182,                 1.6214,             0.00024762,             0.00024762,             0.00024762
                     83,                  1.106,                 1.1709,                  1.693,                0.99431,                      1,                  0.995,                0.77813,                0.90192,                 1.1408,                 1.6479,             0.00023525,             0.00023525,             0.00023525
                     84,                 1.0661,                 1.0503,                  1.642,                0.99436,                      1,                  0.995,                0.80448,                0.89491,                 1.1535,                 1.6534,             0.00022288,             0.00022288,             0.00022288
                     85,                 1.1808,                 1.1204,                 1.8005,                0.99436,                      1,                  0.995,                0.80448,                0.89491,                 1.1535,                 1.6534,              0.0002105,              0.0002105,              0.0002105
                     86,                 1.0791,                 1.0434,                 1.6687,                0.99476,                      1,                  0.995,                0.79244,                0.89198,                 1.1379,                 1.6451,             0.00019813,             0.00019813,             0.00019813
                     87,                0.98778,                 1.0329,                 1.5116,                0.99338,                      1,                  0.995,                0.79322,                0.89277,                 1.0976,                 1.6358,             0.00018575,             0.00018575,             0.00018575
                     88,                 1.0063,                 1.0703,                 1.5571,                0.99313,                      1,                  0.995,                0.78054,                0.89314,                 1.0409,                 1.6229,             0.00017338,             0.00017338,             0.00017338
                     89,                 1.1685,                  1.131,                 1.7387,                0.99313,                      1,                  0.995,                0.78054,                0.89314,                 1.0409,                 1.6229,               0.000161,               0.000161,               0.000161
                     90,                 1.0992,                 1.0636,                 1.6226,                 0.9937,                      1,                  0.995,                0.76807,                0.88136,                  1.005,                 1.5959,             0.00014862,             0.00014862,             0.00014862
                     91,                0.86948,                 1.3478,                  1.604,                0.99415,                      1,                  0.995,                0.81037,                0.86408,                0.99094,                 1.5702,             0.00013625,             0.00013625,             0.00013625
                     92,                0.89722,                 1.3144,                  1.561,                0.99462,                      1,                  0.995,                0.82101,                0.85422,                 1.0042,                 1.5525,             0.00012387,             0.00012387,             0.00012387
                     93,                 0.8757,                 1.3062,                  1.593,                0.99462,                      1,                  0.995,                0.82101,                0.85422,                 1.0042,                 1.5525,              0.0001115,              0.0001115,              0.0001115
                     94,                0.84062,                 1.2426,                  1.465,                0.99468,                      1,                  0.995,                0.79702,                0.85863,                 1.0223,                 1.5478,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.84675,                 1.3216,                 1.5924,                0.99477,                      1,                  0.995,                0.80958,                0.86179,                 1.0546,                 1.5456,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.83013,                 1.2272,                 1.4646,                0.99481,                      1,                  0.995,                 0.8089,                0.86487,                 1.0801,                  1.545,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.83228,                 1.2444,                 1.5043,                0.99481,                      1,                  0.995,                 0.8089,                0.86487,                 1.0801,                  1.545,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.76792,                 1.2393,                 1.4402,                0.99495,                      1,                  0.995,                0.81886,                0.86872,                  1.091,                 1.5461,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.87014,                 1.2756,                 1.4532,                0.99522,                      1,                  0.995,                0.79769,                0.87547,                  1.084,                 1.5505,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.89384,                 1.2599,                 1.4181,                0.99514,                      1,                  0.995,                0.79768,                0.87918,                 1.0723,                 1.5547,             2.4875e-05,             2.4875e-05,             2.4875e-05
