                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0143,                0.86652,                 1.2347,                0.95638,                0.95206,                0.98243,                0.78307,                0.90264,                0.82085,                  1.308,             0.00013332,             0.00013332,             0.00013332
                      2,                 1.0495,                0.80771,                 1.2718,                0.95386,                0.92693,                0.98649,                  0.809,                0.85288,                0.65873,                 1.2867,              0.0002772,              0.0002772,              0.0002772
                      3,                 1.0089,                0.83084,                 1.2951,                0.97295,                0.90431,                0.98144,                0.81145,                0.85153,                0.67956,                 1.2887,             0.00042051,             0.00042051,             0.00042051
                      4,                0.99314,                0.72757,                 1.2349,                0.98501,                0.97928,                0.99228,                 0.8144,                0.86033,                0.62857,                 1.2894,             0.00056324,             0.00056324,             0.00056324
                      5,                 1.0393,                 0.7731,                 1.2405,                0.96531,                0.93962,                0.97983,                0.80687,                0.85171,                0.63741,                 1.2882,             0.00070541,             0.00070541,             0.00070541
                      6,                 1.0292,                0.76342,                  1.213,                 0.9619,                0.88151,                 0.9799,                0.78479,                0.91661,                0.67159,                 1.3238,               0.000847,               0.000847,               0.000847
                      7,                 1.0764,                0.79374,                  1.312,                0.82307,                0.87908,                0.94343,                0.73947,                0.95808,                0.76442,                 1.3418,             0.00098802,             0.00098802,             0.00098802
                      8,                 1.0688,                0.76396,                 1.2546,                0.97074,                0.90863,                0.98403,                0.75106,                 1.0072,                0.66659,                 1.4207,              0.0010956,              0.0010956,              0.0010956
                      9,                 1.0047,                 0.7036,                 1.2224,                0.97154,                0.92736,                0.98569,                0.80895,                0.85292,                0.60956,                 1.2802,              0.0010934,              0.0010934,              0.0010934
                     10,                 1.0744,                0.77285,                 1.2866,                0.89851,                0.93782,                0.98101,                0.80242,                0.90823,                0.70525,                 1.3172,              0.0010912,              0.0010912,              0.0010912
                     11,                  1.007,                0.67729,                 1.1978,                0.89866,                0.97837,                 0.9902,                0.82325,                0.86705,                0.60064,                 1.2993,               0.001089,               0.001089,               0.001089
                     12,                0.97948,                0.65526,                 1.1865,                0.97676,                0.93604,                0.99011,                0.79422,                0.89396,                 0.5815,                 1.3204,              0.0010868,              0.0010868,              0.0010868
                     13,                0.93693,                0.65686,                 1.1738,                0.98242,                0.95593,                0.98172,                0.80955,                0.89317,                0.57974,                 1.3127,              0.0010846,              0.0010846,              0.0010846
                     14,                0.95853,                0.65809,                 1.1806,                0.97978,                0.98571,                 0.9934,                0.81908,                0.87676,                0.57216,                 1.3015,              0.0010824,              0.0010824,              0.0010824
                     15,                0.94945,                0.66022,                 1.1777,                0.98112,                 0.9663,                0.99254,                0.81991,                0.87217,                0.58189,                 1.2742,              0.0010802,              0.0010802,              0.0010802
                     16,                0.98166,                0.65833,                  1.198,                0.98528,                0.99484,                0.99477,                0.82039,                0.83759,                0.54211,                 1.2636,               0.001078,               0.001078,               0.001078
                     17,                0.94223,                 0.6663,                 1.1812,                0.97505,                0.96783,                0.99367,                0.82336,                0.80144,                0.59012,                 1.2377,              0.0010758,              0.0010758,              0.0010758
                     18,                0.99758,                0.65595,                 1.1837,                0.88917,                0.96583,                0.97184,                0.80131,                0.83452,                0.69007,                 1.2566,              0.0010736,              0.0010736,              0.0010736
                     19,                0.99011,                0.64281,                 1.1867,                0.96693,                0.97061,                 0.9905,                0.78074,                0.99943,                0.57927,                 1.4034,              0.0010714,              0.0010714,              0.0010714
                     20,                0.92766,                0.62389,                 1.1422,                0.98393,                0.94266,                0.99287,                0.80253,                0.86844,                0.57102,                 1.2796,              0.0010692,              0.0010692,              0.0010692
                     21,                0.97581,                0.67172,                 1.2365,                0.98711,                 0.9526,                 0.9883,                0.79654,                0.88093,                0.57104,                 1.2907,               0.001067,               0.001067,               0.001067
                     22,                0.95145,                0.63611,                 1.1795,                 0.9921,                0.96306,                0.99218,                 0.8326,                0.83065,                0.58664,                 1.2545,              0.0010648,              0.0010648,              0.0010648
                     23,                0.93423,                0.60742,                 1.1586,                0.97005,                 0.9709,                 0.9925,                0.81628,                0.90641,                 0.5382,                 1.3035,              0.0010626,              0.0010626,              0.0010626
                     24,                0.91881,                0.60368,                 1.1489,                0.98511,                0.98305,                0.99305,                0.82861,                0.83815,                0.51546,                 1.2513,              0.0010604,              0.0010604,              0.0010604
