                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2036,                 1.1277,                 1.8847,                0.86018,                0.89717,                0.96686,                0.72279,                 1.0534,                 1.5031,                 1.7004,             0.00050118,             0.00050118,             0.00050118
                     35,                 1.2547,                 1.1127,                 1.8039,                0.90417,                0.89094,                0.96686,                0.76555,                0.96497,                 1.2572,                 1.6912,             0.00050856,             0.00050856,             0.00050856
                     36,                 1.1319,                0.98974,                 1.7645,                0.92843,                0.86477,                0.96381,                0.73561,                 1.0334,                 1.0834,                 1.7476,             0.00051549,             0.00051549,             0.00051549
                     37,                 1.0702,                0.90853,                 1.6481,                0.92843,                0.86477,                0.96381,                0.73561,                 1.0334,                 1.0834,                 1.7476,             0.00052198,             0.00052198,             0.00052198
                     38,                 1.1191,                0.96709,                 1.6615,                0.84786,                0.89467,                0.95179,                0.74132,                 1.0577,                 1.1027,                 1.7547,             0.00052803,             0.00052803,             0.00052803
                     39,                 1.0828,                 1.0843,                 1.7133,                0.89874,                0.90105,                0.97357,                0.77831,                0.96034,                 1.1168,                 1.6765,             0.00053364,             0.00053364,             0.00053364
                     40,                 1.1782,                0.98401,                 1.7275,                0.89874,                0.90105,                0.97357,                0.77831,                0.96034,                 1.1168,                 1.6765,             0.00053881,             0.00053881,             0.00053881
                     41,                 1.0523,                0.90557,                 1.6537,                0.88389,                0.92874,                0.98929,                0.81619,                0.89048,                 1.1047,                 1.6058,             0.00054355,             0.00054355,             0.00054355
                     42,                 1.2567,                 1.2444,                 1.9852,                0.90187,                0.92828,                0.98929,                0.78911,                0.89527,                 1.0616,                 1.5608,             0.00054784,             0.00054784,             0.00054784
                     43,                 1.0176,                0.91665,                 1.5497,                0.90187,                0.92828,                0.98929,                0.78911,                0.89527,                 1.0616,                 1.5608,             0.00055169,             0.00055169,             0.00055169
                     44,                 1.0338,                0.95831,                  1.588,                0.93026,                0.94079,                0.98929,                0.77859,                0.95851,                 1.0319,                 1.5713,              0.0005551,              0.0005551,              0.0005551
