                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.491,                 1.7548,                 1.8265,                0.66174,                0.83671,                0.82878,                0.59446,                 1.1841,                 1.7196,                 1.7554,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                 1.4189,                 1.4161,                 1.7366,                0.72233,                0.78016,                0.87718,                0.59931,                  1.183,                  2.029,                 1.6709,               0.000143,               0.000143,               0.000143
                      3,                 1.4443,                 1.5064,                 1.8062,                0.98611,                0.83244,                0.94347,                0.71134,                 1.0473,                 1.3888,                  1.528,              0.0002178,              0.0002178,              0.0002178
                      4,                 1.3078,                 1.2884,                 1.6248,                0.99015,                0.82706,                0.97151,                0.72252,                 1.0531,                 1.1669,                 1.5227,             0.00029106,             0.00029106,             0.00029106
                      5,                  1.211,                 1.1998,                  1.559,                0.98027,                0.91804,                0.99006,                0.75309,                 0.9827,                0.96206,                 1.4587,             0.00036278,             0.00036278,             0.00036278
                      6,                 1.1848,                 1.1484,                 1.5342,                0.98173,                0.95199,                0.98836,                0.75223,                0.96941,                0.93192,                 1.4641,             0.00043296,             0.00043296,             0.00043296
                      7,                 1.1871,                 1.1412,                 1.5044,                0.96967,                0.95612,                0.98105,                0.76029,                0.96444,                0.94197,                 1.4561,              0.0005016,              0.0005016,              0.0005016
                      8,                 1.2357,                 1.1125,                 1.5378,                0.98936,                0.96147,                0.98265,                0.74955,                0.97799,                0.86029,                 1.4668,              0.0005687,              0.0005687,              0.0005687
                      9,                 1.1513,                 1.0557,                 1.4984,                0.98272,                0.96329,                 0.9863,                0.77012,                0.94328,                0.82993,                 1.4248,             0.00063427,             0.00063427,             0.00063427
                     10,                 1.1383,                0.97954,                 1.4593,                0.98533,                0.95551,                0.98664,                0.74593,                0.99804,                0.81862,                 1.4445,             0.00069829,             0.00069829,             0.00069829
                     11,                  1.099,                0.95969,                 1.4123,                0.97842,                0.96244,                0.99223,                0.79595,                0.89177,                0.77002,                 1.3707,             0.00076077,             0.00076077,             0.00076077
                     12,                  1.178,                 1.0094,                 1.5169,                0.98954,                0.93262,                0.98903,                0.78241,                0.92409,                0.80013,                 1.3762,             0.00082171,             0.00082171,             0.00082171
                     13,                 1.0713,                0.96191,                 1.4496,                 0.9766,                0.94197,                 0.9859,                0.77239,                0.93245,                0.82689,                 1.3767,             0.00088111,             0.00088111,             0.00088111
                     14,                 1.0677,                0.92584,                 1.4201,                0.99126,                0.96018,                 0.9785,                0.78182,                0.94444,                 0.8571,                 1.3666,             0.00093897,             0.00093897,             0.00093897
                     15,                  1.097,                0.94774,                 1.4167,                0.97648,                0.95469,                0.97905,                0.73517,                 1.0234,                0.83895,                 1.4244,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.0946,                0.94297,                 1.4352,                0.98159,                 0.9494,                0.97994,                0.78213,                0.91965,                0.77069,                 1.3558,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.0715,                0.90012,                 1.4038,                0.88425,                0.95412,                 0.9782,                0.78285,                0.89576,                0.80655,                 1.3588,             0.00093502,             0.00093502,             0.00093502
                     18,                0.98989,                 0.8317,                 1.3549,                0.86365,                0.93679,                0.96714,                0.76308,                0.92758,                0.86355,                 1.3835,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.0029,                0.84424,                 1.3231,                0.98353,                0.90737,                0.97797,                0.78704,                0.87243,                0.79135,                 1.3114,             0.00091302,             0.00091302,             0.00091302
                     20,                0.97263,                0.83256,                 1.3476,                0.99109,                0.93618,                 0.9852,                0.78804,                 0.8804,                0.78664,                  1.319,             0.00090202,             0.00090202,             0.00090202
                     21,                 0.9489,                0.81766,                 1.3144,                0.97944,                0.94705,                0.98759,                 0.8023,                0.83442,                0.80539,                 1.2982,             0.00089102,             0.00089102,             0.00089102
                     22,                0.92577,                 0.7811,                 1.2951,                 0.9797,                0.94687,                0.99225,                0.80432,                0.87496,                 0.8107,                 1.3398,             0.00088002,             0.00088002,             0.00088002
                     23,                0.99948,                0.81304,                 1.3262,                0.97477,                0.96825,                0.98847,                 0.7948,                0.83808,                0.72178,                 1.2986,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.0231,                0.81448,                 1.3669,                0.97686,                0.95567,                   0.99,                0.78733,                0.99508,                0.79257,                 1.4123,             0.00085803,             0.00085803,             0.00085803
                     25,                 1.0789,                0.81416,                 1.3595,                 0.9633,                0.96102,                0.99041,                0.80955,                 0.9202,                0.77754,                  1.358,             0.00084703,             0.00084703,             0.00084703
                     26,                0.92442,                0.77927,                 1.3198,                0.98323,                0.96421,                0.98957,                 0.8339,                0.79047,                0.71388,                 1.2657,             0.00083603,             0.00083603,             0.00083603
                     27,                0.91455,                0.75983,                 1.3027,                0.99069,                0.96513,                0.99238,                0.84452,                0.78802,                0.63758,                 1.2532,             0.00082503,             0.00082503,             0.00082503
                     28,                0.96258,                0.79288,                 1.3119,                0.99117,                0.96779,                0.99355,                0.80648,                 0.8431,                0.65472,                  1.283,             0.00081403,             0.00081403,             0.00081403
                     29,                0.92319,                0.72369,                 1.2756,                0.98954,                0.96563,                 0.9903,                 0.8005,                0.85002,                0.65913,                 1.2883,             0.00080303,             0.00080303,             0.00080303
                     30,                0.94217,                0.77399,                  1.326,                0.97611,                0.95935,                0.98635,                0.82821,                0.81714,                0.65123,                 1.2531,             0.00079203,             0.00079203,             0.00079203
                     31,                0.88907,                0.71397,                 1.2413,                0.98636,                0.93743,                0.98123,                0.82088,                0.74583,                0.65462,                 1.1999,             0.00078103,             0.00078103,             0.00078103
                     32,                0.95372,                0.73698,                 1.2697,                0.98793,                0.93014,                0.99048,                0.81706,                0.81672,                0.65683,                 1.2565,             0.00077003,             0.00077003,             0.00077003
                     33,                0.88903,                0.70593,                 1.2295,                0.98583,                0.92539,                0.99022,                0.80386,                  0.831,                0.66677,                 1.2751,             0.00075904,             0.00075904,             0.00075904
                     34,                0.88061,                0.71665,                 1.2574,                0.98482,                0.94431,                0.99434,                0.81405,                0.81468,                0.62469,                 1.2526,             0.00074804,             0.00074804,             0.00074804
                     35,                0.92175,                0.69913,                 1.2472,                0.98496,                0.96378,                  0.995,                0.82202,                0.83447,                0.60605,                 1.2571,             0.00073704,             0.00073704,             0.00073704
                     36,                0.94834,                0.70649,                 1.2725,                0.98328,                0.96221,                0.99434,                0.83566,                0.77968,                0.63589,                 1.2322,             0.00072604,             0.00072604,             0.00072604
                     37,                0.91348,                0.68331,                  1.277,                0.98314,                0.95583,                0.98464,                0.83359,                0.80476,                0.66105,                 1.2494,             0.00071504,             0.00071504,             0.00071504
                     38,                0.89519,                0.69783,                  1.289,                0.97396,                0.99864,                  0.995,                0.84206,                0.78996,                0.60445,                 1.2318,             0.00070404,             0.00070404,             0.00070404
                     39,                0.91958,                0.69601,                 1.2664,                0.98449,                0.99883,                  0.995,                0.82752,                0.81834,                0.59567,                 1.2533,             0.00069304,             0.00069304,             0.00069304
                     40,                0.88764,                0.72166,                 1.2423,                 0.9846,                 0.9607,                0.99355,                0.81833,                0.88127,                0.62423,                 1.3115,             0.00068204,             0.00068204,             0.00068204
                     41,                0.90963,                0.68127,                 1.2664,                0.98309,                0.96094,                0.99434,                0.82606,                0.80566,                0.60849,                 1.2524,             0.00067104,             0.00067104,             0.00067104
                     42,                0.87768,                0.68853,                 1.2663,                0.98298,                0.97066,                0.99434,                0.83984,                0.77876,                0.60555,                 1.2204,             0.00066005,             0.00066005,             0.00066005
                     43,                0.88247,                0.69085,                 1.2599,                0.99194,                0.91267,                0.99115,                0.84474,                0.80465,                0.61629,                 1.2387,             0.00064905,             0.00064905,             0.00064905
                     44,                0.85933,                0.66067,                 1.2359,                0.98769,                0.93422,                  0.995,                0.81432,                0.85233,                0.60972,                 1.2812,             0.00063805,             0.00063805,             0.00063805
                     45,                0.88338,                0.65845,                  1.275,                 0.9859,                0.96646,                  0.995,                0.81634,                0.83552,                 0.6002,                 1.2705,             0.00062705,             0.00062705,             0.00062705
                     46,                0.88063,                0.67584,                 1.2348,                 0.9838,                 0.9944,                  0.995,                0.84651,                0.74689,                0.58715,                 1.2027,             0.00061605,             0.00061605,             0.00061605
                     47,                0.84518,                0.64537,                 1.2505,                0.98725,                0.98982,                  0.995,                0.84168,                0.75398,                0.56804,                 1.1963,             0.00060505,             0.00060505,             0.00060505
                     48,                0.81055,                0.63822,                 1.2002,                0.98198,                      1,                  0.995,                0.84971,                0.74936,                0.57065,                 1.1979,             0.00059405,             0.00059405,             0.00059405
                     49,                0.82169,                0.61618,                 1.1992,                0.97739,                      1,                  0.995,                 0.8477,                0.76783,                0.56888,                 1.2132,             0.00058305,             0.00058305,             0.00058305
                     50,                 0.8142,                0.61013,                 1.1752,                0.97852,                      1,                  0.995,                0.81982,                0.81832,                0.56686,                 1.2492,             0.00057205,             0.00057205,             0.00057205
                     51,                 0.8101,                 0.6211,                 1.2015,                0.98256,                0.96277,                  0.995,                0.84555,                0.75982,                0.55354,                 1.2106,             0.00056105,             0.00056105,             0.00056105
                     52,                0.82242,                0.58982,                  1.195,                0.97727,                0.96285,                0.99434,                0.83401,                0.77479,                 0.5755,                 1.2285,             0.00055006,             0.00055006,             0.00055006
                     53,                0.84401,                0.62613,                 1.2036,                0.97387,                0.98264,                  0.995,                0.81862,                0.79885,                 0.5759,                 1.2344,             0.00053906,             0.00053906,             0.00053906
                     54,                0.84979,                0.64289,                 1.2452,                0.98255,                0.98611,                0.99434,                0.83671,                0.77072,                0.54954,                 1.2069,             0.00052806,             0.00052806,             0.00052806
                     55,                0.78959,                0.59567,                 1.1739,                0.99092,                0.98773,                  0.995,                0.84893,                0.75392,                0.53224,                 1.1849,             0.00051706,             0.00051706,             0.00051706
                     56,                0.80403,                0.58044,                  1.201,                 0.9898,                0.98866,                  0.995,                0.84292,                0.76827,                0.52376,                 1.2052,             0.00050606,             0.00050606,             0.00050606
                     57,                0.78176,                0.58056,                 1.1677,                0.98448,                0.99669,                  0.995,                0.84291,                0.76757,                0.51614,                 1.2095,             0.00049506,             0.00049506,             0.00049506
                     58,                0.80135,                0.58047,                 1.1538,                0.98609,                 0.9989,                  0.995,                 0.8482,                0.75152,                0.51675,                 1.1933,             0.00048406,             0.00048406,             0.00048406
                     59,                0.78714,                0.58684,                 1.1667,                0.97869,                      1,                  0.995,                 0.8432,                0.75451,                0.52078,                 1.1912,             0.00047306,             0.00047306,             0.00047306
                     60,                0.76979,                0.57357,                 1.1848,                0.97441,                      1,                  0.995,                 0.8541,                0.74616,                0.51919,                 1.1953,             0.00046206,             0.00046206,             0.00046206
                     61,                0.79975,                0.58886,                 1.2032,                0.97796,                      1,                  0.995,                0.84522,                0.73834,                0.49636,                 1.1827,             0.00045107,             0.00045107,             0.00045107
                     62,                0.77894,                0.58422,                 1.1974,                0.97518,                0.99712,                  0.995,                0.83966,                0.74769,                0.49388,                 1.1865,             0.00044007,             0.00044007,             0.00044007
                     63,                0.77341,                0.55732,                 1.1491,                0.97609,                0.99629,                  0.995,                0.85285,                0.73932,                0.50093,                 1.1821,             0.00042907,             0.00042907,             0.00042907
                     64,                 0.7572,                 0.5491,                 1.1608,                0.97364,                      1,                  0.995,                0.84313,                0.73412,                0.48619,                 1.1717,             0.00041807,             0.00041807,             0.00041807
                     65,                0.77941,                0.56333,                 1.1879,                0.96006,                      1,                0.99289,                0.84304,                0.74634,                0.48997,                 1.1814,             0.00040707,             0.00040707,             0.00040707
                     66,                0.74553,                0.54651,                 1.1376,                0.95299,                      1,                0.99289,                0.84013,                0.79429,                0.52301,                 1.2209,             0.00039607,             0.00039607,             0.00039607
                     67,                0.74509,                0.54513,                 1.1391,                 0.9711,                      1,                  0.995,                0.84996,                0.76169,                0.48583,                 1.1953,             0.00038507,             0.00038507,             0.00038507
                     68,                0.72809,                0.53061,                 1.1215,                0.97419,                      1,                  0.995,                0.86395,                 0.7228,                0.47094,                 1.1748,             0.00037407,             0.00037407,             0.00037407
                     69,                0.74164,                0.53555,                 1.1174,                0.97561,                      1,                  0.995,                0.85128,                0.74036,                0.47534,                 1.1866,             0.00036307,             0.00036307,             0.00036307
                     70,                0.75552,                0.53911,                 1.1538,                0.97727,                0.99489,                  0.995,                0.85784,                0.72892,                 0.4727,                 1.1721,             0.00035208,             0.00035208,             0.00035208
