                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2361,                  4.273,                 3.5192,                 0.9753,                      1,                  0.995,                0.45656,                 2.1258,                 1.4668,                 3.5102,                      0,                      0,                      0
                      2,                 3.2021,                  4.393,                 3.5561,                 0.9749,                      1,                  0.995,                0.45656,                 2.0973,                 1.4448,                  3.465,                1.1e-05,                1.1e-05,                1.1e-05
                      3,                  2.943,                 3.5135,                 3.0171,                 0.9749,                      1,                  0.995,                0.45656,                 2.0747,                 1.3917,                 3.3739,              2.178e-05,              2.178e-05,              2.178e-05
                      4,                 2.9302,                 4.6417,                 3.2278,                0.97461,                      1,                  0.995,                0.50267,                 2.0301,                 1.3022,                 3.2611,              3.234e-05,              3.234e-05,              3.234e-05
                      5,                 3.0465,                 3.7342,                 3.0508,                0.97357,                      1,                  0.995,                 0.5021,                 1.9886,                 1.2359,                 3.1076,              4.268e-05,              4.268e-05,              4.268e-05
                      6,                 2.3469,                 3.3422,                 2.5618,                0.96785,                      1,                  0.995,                0.55345,                 1.9681,                 1.1955,                 2.9885,               5.28e-05,               5.28e-05,               5.28e-05
                      7,                 2.4412,                 2.7995,                 2.6883,                0.94943,                      1,                  0.995,                0.55606,                 1.9108,                 1.2645,                 2.8216,               6.27e-05,               6.27e-05,               6.27e-05
                      8,                 1.9866,                  2.685,                 2.4774,                0.91195,                      1,                  0.995,                  0.488,                 1.8254,                 1.4571,                 2.5985,             7.2381e-05,             7.2381e-05,             7.2381e-05
                      9,                 2.1627,                 2.3166,                  2.736,                0.65434,                0.96303,                0.66333,                0.32732,                 1.6912,                 1.7402,                 2.3934,             8.1841e-05,             8.1841e-05,             8.1841e-05
                     10,                  1.814,                 1.9631,                 2.3685,                0.38418,                      1,                 0.4475,                0.27982,                 1.5641,                 2.1259,                 2.2562,             9.1081e-05,             9.1081e-05,             9.1081e-05
                     11,                 1.6046,                 1.2946,                  2.306,                0.46449,                    0.5,                0.41417,                0.25786,                 1.4886,                 2.3923,                  2.202,              0.0001001,              0.0001001,              0.0001001
                     12,                 1.5273,                 1.2764,                 2.1849,                0.47667,                    0.5,                 0.3725,                0.24316,                 1.4608,                 2.5524,                 2.2108,              0.0001089,              0.0001089,              0.0001089
                     13,                 1.7999,                 1.2756,                 2.4229,                0.49964,                    0.5,                 0.3725,                0.24976,                 1.4104,                 2.6802,                 2.2247,             0.00011748,             0.00011748,             0.00011748
