                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1193,                   2.44,                 2.1041,                0.51639,                 0.3125,                0.23424,                0.13727,                 2.5239,                 3.2503,                 2.6124,              2.222e-05,              2.222e-05,              2.222e-05
                      2,                 2.1782,                 2.3408,                 2.1073,                0.75174,                0.45351,                0.57528,                 0.3653,                 1.7419,                 2.4817,                 2.1737,             5.5367e-05,             5.5367e-05,             5.5367e-05
                      3,                 1.8222,                 1.8833,                 1.9526,                0.84285,                0.70496,                0.86037,                0.56914,                 1.3927,                  1.983,                 1.7843,             8.8293e-05,             8.8293e-05,             8.8293e-05
                      4,                 1.7042,                 1.5598,                 1.8167,                0.92674,                0.93611,                0.96012,                0.67982,                 1.2213,                 2.2306,                 1.5564,               0.000121,               0.000121,               0.000121
                      5,                 1.4316,                 1.4729,                 1.6756,                0.84403,                0.95833,                0.96763,                0.70539,                 1.1927,                  2.473,                 1.5056,             0.00015349,             0.00015349,             0.00015349
                      6,                 1.6551,                  1.408,                 1.7048,                 0.7138,                0.95295,                0.96076,                 0.6642,                 1.2474,                 2.5393,                 1.5226,             0.00018575,             0.00018575,             0.00018575
                      7,                 1.6948,                 1.4529,                 1.7188,                0.94074,                0.92458,                0.96518,                0.66723,                 1.3143,                 1.8427,                 1.5425,              0.0002178,              0.0002178,              0.0002178
                      8,                 1.4078,                 1.2466,                 1.6279,                0.98168,                0.93106,                  0.971,                0.69151,                 1.2702,                 1.6589,                 1.5346,             0.00024963,             0.00024963,             0.00024963
                      9,                 1.3425,                 1.2023,                 1.5589,                 0.9809,                0.95833,                0.96841,                0.71619,                 1.1687,                 1.2556,                 1.4909,             0.00028123,             0.00028123,             0.00028123
                     10,                 1.4169,                 1.1971,                 1.5814,                0.98651,                0.95833,                0.96803,                0.72123,                 1.1392,                 1.1475,                 1.4601,             0.00031262,             0.00031262,             0.00031262
                     11,                 1.2769,                 1.1159,                 1.5182,                 0.9826,                0.95833,                 0.9742,                0.67947,                 1.2614,                 1.1206,                  1.484,             0.00034379,             0.00034379,             0.00034379
                     12,                 1.2497,                 1.0814,                 1.4652,                0.97518,                0.95833,                 0.9742,                0.67166,                 1.2442,                   1.03,                 1.4806,             0.00037473,             0.00037473,             0.00037473
                     13,                 1.3189,                 1.1419,                 1.5513,                0.96154,                0.96816,                0.98933,                0.75297,                 1.0481,                  0.945,                 1.4118,             0.00040546,             0.00040546,             0.00040546
                     14,                 1.2625,                 1.0411,                 1.4619,                0.95127,                0.98459,                0.99192,                0.77273,                 1.0006,                0.93126,                 1.3961,             0.00043597,             0.00043597,             0.00043597
                     15,                 1.2992,                  1.077,                  1.488,                0.93405,                0.94522,                0.98792,                0.72307,                 1.1501,                0.91705,                 1.4661,             0.00046626,             0.00046626,             0.00046626
                     16,                 1.2273,                 1.0412,                 1.4593,                0.94844,                0.94762,                0.99192,                0.74907,                 1.0799,                0.87992,                  1.431,             0.00049632,             0.00049632,             0.00049632
                     17,                 1.2711,                 1.0442,                 1.4556,                0.89157,                 0.9687,                  0.995,                0.75454,                 1.0541,                0.97824,                 1.4216,             0.00052617,             0.00052617,             0.00052617
                     18,                 1.3005,                0.99058,                   1.49,                0.95762,                0.94526,                  0.995,                0.73816,                 1.1067,                 1.0625,                 1.4285,              0.0005558,              0.0005558,              0.0005558
                     19,                 1.1868,                0.94532,                 1.4188,                0.96218,                0.93241,                  0.995,                0.74101,                 1.0823,                 1.1262,                 1.3981,              0.0005852,              0.0005852,              0.0005852
                     20,                 1.1397,                 0.9372,                  1.387,                0.91437,                0.94204,                0.98929,                0.76897,                 1.0046,                 1.0474,                  1.349,             0.00061439,             0.00061439,             0.00061439
                     21,                 1.2643,                 1.0398,                 1.4528,                0.93916,                0.94458,                0.99192,                0.80543,                0.93871,                0.92356,                 1.3186,             0.00064336,             0.00064336,             0.00064336
                     22,                 1.1827,                0.99412,                 1.3848,                0.93106,                0.91001,                0.97994,                0.79071,                0.99249,                0.94433,                 1.3491,             0.00067211,             0.00067211,             0.00067211
                     23,                 1.1485,                 1.0236,                 1.3935,                0.94924,                0.91671,                0.97278,                0.77487,                0.99869,                0.94257,                 1.3634,             0.00070063,             0.00070063,             0.00070063
                     24,                  1.159,                0.94949,                 1.3716,                0.94537,                0.91745,                0.97587,                0.76769,                0.96339,                0.93352,                 1.3417,             0.00072894,             0.00072894,             0.00072894
                     25,                 1.1147,                0.90633,                 1.3372,                0.96506,                0.91804,                0.98929,                0.78978,                0.95076,                  0.924,                 1.3277,             0.00075703,             0.00075703,             0.00075703
                     26,                 1.1272,                0.90505,                 1.3581,                0.96837,                0.94582,                  0.995,                0.79965,                 0.9333,                0.90244,                 1.3104,             0.00078489,             0.00078489,             0.00078489
                     27,                 1.0952,                0.89504,                 1.3173,                0.96625,                0.95507,                0.99346,                0.79076,                0.95936,                0.84091,                 1.3225,             0.00081254,             0.00081254,             0.00081254
                     28,                  1.156,                0.92509,                 1.3638,                0.94886,                0.95833,                0.99192,                0.79599,                0.94624,                0.73922,                 1.3111,             0.00083997,             0.00083997,             0.00083997
                     29,                 1.0563,                0.88911,                 1.2874,                0.94886,                0.95833,                0.99192,                0.79599,                0.94624,                0.73922,                 1.3111,             0.00086718,             0.00086718,             0.00086718
                     30,                 1.1011,                0.88139,                 1.3139,                0.96858,                0.97053,                  0.995,                0.80126,                0.99901,                0.72249,                 1.3074,             0.00089416,             0.00089416,             0.00089416
                     31,                 1.1039,                0.88298,                 1.3414,                0.97566,                0.96796,                  0.995,                0.81415,                0.96191,                 0.7465,                 1.2729,             0.00092093,             0.00092093,             0.00092093
                     32,                 1.1477,                0.94254,                 1.3492,                0.98722,                0.96441,                  0.995,                0.81624,                0.91984,                 0.7831,                 1.2482,             0.00094748,             0.00094748,             0.00094748
                     33,                 1.0543,                0.85214,                 1.2856,                0.98722,                0.96441,                  0.995,                0.81624,                0.91984,                 0.7831,                 1.2482,              0.0009738,              0.0009738,              0.0009738
                     34,                 1.0792,                0.87802,                 1.3074,                0.97967,                0.96932,                  0.995,                0.81276,                 0.8958,                0.74995,                 1.2375,             0.00099001,             0.00099001,             0.00099001
                     35,                  1.092,                0.89539,                 1.3312,                0.96774,                0.95833,                  0.974,                0.78331,                0.92345,                 0.8404,                 1.2626,             0.00098635,             0.00098635,             0.00098635
                     36,                 1.1008,                0.89143,                 1.3583,                0.98482,                0.91917,                0.96015,                0.76838,                0.96496,                0.88483,                 1.2902,             0.00098268,             0.00098268,             0.00098268
                     37,                 1.0541,                0.84591,                 1.3028,                0.98482,                0.91917,                0.96015,                0.76838,                0.96496,                0.88483,                 1.2902,             0.00097901,             0.00097901,             0.00097901
                     38,                 1.0514,                0.86695,                 1.2484,                 0.9387,                0.99643,                0.99192,                 0.7828,                0.96912,                0.72692,                 1.2867,             0.00097535,             0.00097535,             0.00097535
                     39,                 1.0116,                0.81085,                 1.2719,                0.96622,                0.97692,                  0.995,                0.78487,                0.94291,                0.72001,                 1.2707,             0.00097168,             0.00097168,             0.00097168
                     40,                  1.017,                0.83734,                 1.2892,                0.97982,                0.96632,                  0.995,                0.81876,                0.91685,                0.68765,                 1.2627,             0.00096801,             0.00096801,             0.00096801
                     41,                   0.98,                0.79585,                 1.2205,                0.97982,                0.96632,                  0.995,                0.81876,                0.91685,                0.68765,                 1.2627,             0.00096435,             0.00096435,             0.00096435
                     42,                0.95508,                0.80127,                 1.2345,                0.97304,                0.95833,                0.99192,                 0.8369,                0.87207,                0.76345,                 1.2344,             0.00096068,             0.00096068,             0.00096068
                     43,                0.99596,                0.80093,                 1.2269,                0.95571,                0.96186,                0.99214,                0.81823,                0.94852,                0.80552,                 1.2886,             0.00095702,             0.00095702,             0.00095702
                     44,                 1.0008,                 0.8036,                 1.2421,                0.96909,                0.96056,                  0.995,                0.83797,                 0.8915,                0.75478,                 1.2532,             0.00095335,             0.00095335,             0.00095335
                     45,                0.94197,                 0.7632,                 1.2224,                0.96909,                0.96056,                  0.995,                0.83797,                 0.8915,                0.75478,                 1.2532,             0.00094968,             0.00094968,             0.00094968
                     46,                0.93252,                   0.76,                 1.2123,                0.97862,                0.96435,                  0.995,                0.83702,                 0.8375,                0.71394,                 1.2087,             0.00094602,             0.00094602,             0.00094602
                     47,                 0.9788,                0.82085,                 1.2265,                 0.9824,                0.95833,                0.99192,                0.77357,                0.99866,                0.82328,                 1.3036,             0.00094235,             0.00094235,             0.00094235
                     48,                0.96433,                0.78894,                 1.2056,                0.98206,                0.95833,                0.99192,                0.76889,                0.99012,                0.76443,                 1.2939,             0.00093868,             0.00093868,             0.00093868
                     49,                 0.9243,                0.73441,                 1.1645,                0.98206,                0.95833,                0.99192,                0.76889,                0.99012,                0.76443,                 1.2939,             0.00093502,             0.00093502,             0.00093502
                     50,                0.93212,                0.73702,                 1.1935,                0.89758,                0.95833,                0.99192,                0.84494,                0.82183,                0.74559,                 1.2186,             0.00093135,             0.00093135,             0.00093135
                     51,                0.93922,                0.74895,                 1.1902,                0.99291,                0.96448,                  0.995,                0.83611,                0.83086,                0.68208,                 1.2117,             0.00092769,             0.00092769,             0.00092769
                     52,                0.93329,                0.77725,                 1.2084,                0.99108,                0.96429,                  0.995,                0.82708,                0.88991,                0.65868,                 1.2408,             0.00092402,             0.00092402,             0.00092402
                     53,                 1.0295,                0.77076,                 1.2428,                0.99108,                0.96429,                  0.995,                0.82708,                0.88991,                0.65868,                 1.2408,             0.00092035,             0.00092035,             0.00092035
                     54,                0.98478,                0.75007,                 1.2041,                 0.9915,                0.96419,                  0.995,                0.81457,                0.92266,                0.67087,                  1.255,             0.00091669,             0.00091669,             0.00091669
                     55,                0.94113,                 0.7421,                 1.2372,                0.98976,                0.96344,                  0.995,                0.82046,                 1.0149,                0.67804,                 1.2912,             0.00091302,             0.00091302,             0.00091302
                     56,                 1.0622,                0.75807,                 1.2131,                0.98954,                0.95986,                  0.995,                0.82603,                 0.9256,                0.67831,                 1.2407,             0.00090935,             0.00090935,             0.00090935
                     57,                 1.0087,                0.74063,                 1.2142,                0.98954,                0.95986,                  0.995,                0.82603,                 0.9256,                0.67831,                 1.2407,             0.00090569,             0.00090569,             0.00090569
                     58,                0.92813,                0.75425,                 1.2298,                0.98797,                0.95833,                0.98933,                0.83398,                0.87651,                0.65243,                 1.2242,             0.00090202,             0.00090202,             0.00090202
                     59,                0.89755,                0.70109,                 1.1637,                0.99181,                0.95969,                0.99346,                0.81957,                0.91757,                0.64959,                 1.2562,             0.00089835,             0.00089835,             0.00089835
                     60,                0.95361,                0.70578,                 1.1767,                0.99049,                0.96344,                  0.995,                0.82996,                 0.8879,                0.60693,                 1.2386,             0.00089469,             0.00089469,             0.00089469
                     61,                0.91125,                0.71936,                 1.2136,                0.99049,                0.96344,                  0.995,                0.82996,                 0.8879,                0.60693,                 1.2386,             0.00089102,             0.00089102,             0.00089102
                     62,                0.99553,                0.69911,                 1.1869,                0.98963,                0.96532,                  0.995,                0.81838,                0.93979,                0.63388,                 1.2445,             0.00088736,             0.00088736,             0.00088736
                     63,                0.95929,                0.68846,                 1.2015,                0.99061,                0.96531,                  0.995,                0.79915,                 0.9861,                0.63924,                 1.2634,             0.00088369,             0.00088369,             0.00088369
                     64,                0.92176,                0.70212,                 1.1982,                0.98895,                0.96521,                  0.995,                0.85547,                0.82814,                0.59547,                 1.1954,             0.00088002,             0.00088002,             0.00088002
                     65,                0.89538,                0.68457,                  1.185,                0.98895,                0.96521,                  0.995,                0.85547,                0.82814,                0.59547,                 1.1954,             0.00087636,             0.00087636,             0.00087636
                     66,                0.92416,                0.72689,                 1.1977,                0.99161,                0.96374,                  0.995,                0.82517,                0.85466,                0.58786,                  1.223,             0.00087269,             0.00087269,             0.00087269
                     67,                0.96439,                0.70088,                 1.1721,                0.99299,                0.96311,                  0.995,                0.78284,                0.92309,                0.60918,                 1.2637,             0.00086902,             0.00086902,             0.00086902
                     68,                0.85207,                0.64547,                 1.1572,                0.99246,                0.96176,                  0.995,                0.80336,                0.88327,                0.61642,                 1.2329,             0.00086536,             0.00086536,             0.00086536
                     69,                0.86948,                0.63482,                 1.1003,                0.99246,                0.96176,                  0.995,                0.80336,                0.88327,                0.61642,                 1.2329,             0.00086169,             0.00086169,             0.00086169
                     70,                0.92074,                 0.7018,                 1.1825,                0.99107,                0.96189,                  0.995,                0.78824,                0.93015,                0.63092,                 1.2653,             0.00085803,             0.00085803,             0.00085803
                     71,                0.89219,                0.69049,                 1.1787,                0.99185,                0.96272,                  0.995,                0.78812,                 0.9229,                0.62692,                 1.2677,             0.00085436,             0.00085436,             0.00085436
                     72,                  0.877,                0.66046,                 1.1207,                0.99108,                 0.9616,                  0.995,                0.79693,                0.89864,                0.61454,                 1.2463,             0.00085069,             0.00085069,             0.00085069
                     73,                 0.8458,                0.65602,                 1.1301,                0.99108,                 0.9616,                  0.995,                0.79693,                0.89864,                0.61454,                 1.2463,             0.00084703,             0.00084703,             0.00084703
                     74,                0.87642,                 0.6818,                 1.1531,                0.99023,                0.95977,                  0.995,                0.84175,                0.83726,                0.59208,                 1.1971,             0.00084336,             0.00084336,             0.00084336
                     75,                0.80759,                0.64741,                 1.1201,                0.98792,                0.96292,                  0.995,                0.84444,                0.78835,                 0.5677,                 1.1614,             0.00083969,             0.00083969,             0.00083969
                     76,                0.80474,                0.62553,                 1.1145,                0.98054,                0.97028,                  0.995,                0.83819,                0.79005,                0.58412,                 1.1536,             0.00083603,             0.00083603,             0.00083603
                     77,                0.82404,                0.62482,                 1.1049,                0.98054,                0.97028,                  0.995,                0.83819,                0.79005,                0.58412,                 1.1536,             0.00083236,             0.00083236,             0.00083236
                     78,                0.85056,                0.65264,                 1.1392,                0.96266,                      1,                  0.995,                 0.8393,                0.75528,                0.57805,                 1.1429,             0.00082869,             0.00082869,             0.00082869
                     79,                0.84211,                  0.638,                 1.1349,                0.97317,                0.97539,                  0.995,                0.84596,                0.78912,                0.58569,                 1.1623,             0.00082503,             0.00082503,             0.00082503
                     80,                0.88859,                0.63588,                 1.1037,                0.97615,                0.97132,                  0.995,                0.83168,                0.81973,                0.58405,                 1.1829,             0.00082136,             0.00082136,             0.00082136
                     81,                0.89242,                0.66018,                 1.1463,                0.97615,                0.97132,                  0.995,                0.83168,                0.81973,                0.58405,                 1.1829,              0.0008177,              0.0008177,              0.0008177
                     82,                0.82294,                0.65604,                 1.1619,                 0.9787,                 0.9683,                  0.995,                0.84434,                0.76674,                0.57524,                 1.1528,             0.00081403,             0.00081403,             0.00081403
                     83,                0.81901,                0.60303,                 1.1111,                0.98118,                0.96607,                  0.995,                0.83848,                0.82085,                0.57673,                 1.1849,             0.00081036,             0.00081036,             0.00081036
                     84,                0.78624,                0.61343,                 1.1078,                0.97822,                0.96809,                  0.995,                0.84595,                0.82803,                0.57891,                 1.1837,              0.0008067,              0.0008067,              0.0008067
                     85,                 0.8888,                0.66159,                 1.1638,                0.97822,                0.96809,                  0.995,                0.84595,                0.82803,                0.57891,                 1.1837,             0.00080303,             0.00080303,             0.00080303
                     86,                0.84773,                 0.6409,                 1.1471,                0.96976,                0.97414,                  0.995,                0.86755,                0.79319,                0.58198,                 1.1554,             0.00079936,             0.00079936,             0.00079936
                     87,                0.83818,                 0.6523,                 1.1319,                0.96932,                0.97527,                  0.995,                0.86819,                0.78382,                0.56542,                 1.1459,              0.0007957,              0.0007957,              0.0007957
                     88,                0.84712,                0.62849,                 1.1257,                0.97559,                0.97313,                  0.995,                0.84925,                0.78321,                0.54473,                 1.1525,             0.00079203,             0.00079203,             0.00079203
                     89,                0.80284,                0.59784,                 1.1119,                0.97559,                0.97313,                  0.995,                0.84925,                0.78321,                0.54473,                 1.1525,             0.00078837,             0.00078837,             0.00078837
                     90,                0.77624,                0.57193,                 1.0835,                0.97813,                0.97218,                  0.995,                0.84443,                0.80173,                0.54681,                 1.1611,              0.0007847,              0.0007847,              0.0007847
                     91,                0.76004,                0.57382,                 1.0647,                0.98361,                0.96811,                  0.995,                0.84189,                0.78327,                0.55201,                  1.145,             0.00078103,             0.00078103,             0.00078103
                     92,                0.80128,                0.59854,                 1.1047,                0.98235,                0.96823,                  0.995,                 0.8512,                0.77377,                0.54092,                  1.133,             0.00077737,             0.00077737,             0.00077737
                     93,                0.82612,                 0.5881,                 1.0868,                0.98235,                0.96823,                  0.995,                 0.8512,                0.77377,                0.54092,                  1.133,              0.0007737,              0.0007737,              0.0007737
                     94,                0.83553,                0.60755,                 1.1096,                0.97825,                0.97044,                  0.995,                0.84727,                0.75934,                0.53583,                 1.1336,             0.00077003,             0.00077003,             0.00077003
                     95,                0.83157,                0.59219,                 1.0841,                0.97957,                0.96976,                  0.995,                0.86074,                0.78546,                0.52715,                 1.1535,             0.00076637,             0.00076637,             0.00076637
                     96,                0.81018,                0.61314,                 1.1067,                0.98702,                0.96556,                  0.995,                0.85586,                0.78722,                  0.528,                 1.1517,              0.0007627,              0.0007627,              0.0007627
                     97,                0.77879,                0.58456,                 1.1147,                0.98702,                0.96556,                  0.995,                0.85586,                0.78722,                  0.528,                 1.1517,             0.00075904,             0.00075904,             0.00075904
                     98,                0.77529,                0.57083,                 1.0797,                0.99371,                0.96188,                  0.995,                0.85305,                  0.785,                0.53471,                 1.1259,             0.00075537,             0.00075537,             0.00075537
                     99,                0.88256,                0.66991,                 1.1603,                 0.9921,                 0.9625,                  0.995,                0.85453,                0.78221,                0.57671,                 1.1213,              0.0007517,              0.0007517,              0.0007517
                    100,                0.82091,                0.59711,                 1.0962,                0.99294,                0.96348,                  0.995,                0.85411,                0.75841,                0.55877,                 1.1264,             0.00074804,             0.00074804,             0.00074804
                    101,                0.79624,                0.58455,                 1.0794,                0.99294,                0.96348,                  0.995,                0.85411,                0.75841,                0.55877,                 1.1264,             0.00074437,             0.00074437,             0.00074437
                    102,                0.76634,                0.57734,                 1.1118,                0.99492,                0.96354,                  0.995,                0.85715,                0.76353,                0.54031,                 1.1366,              0.0007407,              0.0007407,              0.0007407
                    103,                0.75908,                 0.5849,                 1.0932,                 0.9922,                0.96553,                  0.995,                0.86204,                0.74824,                0.52258,                 1.1205,             0.00073704,             0.00073704,             0.00073704
                    104,                0.81393,                0.56523,                 1.0748,                0.96194,                      1,                  0.995,                0.83793,                0.78406,                0.52236,                   1.14,             0.00073337,             0.00073337,             0.00073337
                    105,                0.76279,                0.58178,                 1.0903,                0.96194,                      1,                  0.995,                0.83793,                0.78406,                0.52236,                   1.14,              0.0007297,              0.0007297,              0.0007297
                    106,                0.78803,                0.56584,                 1.0755,                0.96401,                      1,                  0.995,                0.83038,                0.79986,                0.52251,                 1.1499,             0.00072604,             0.00072604,             0.00072604
                    107,                0.76434,                0.58919,                 1.1194,                0.99126,                0.96542,                  0.995,                0.85977,                0.74763,                0.52221,                 1.1146,             0.00072237,             0.00072237,             0.00072237
                    108,                0.75554,                0.55769,                 1.0841,                0.99275,                0.96142,                  0.995,                0.85484,                0.75892,                0.52178,                  1.109,             0.00071871,             0.00071871,             0.00071871
                    109,                0.78931,                 0.5865,                 1.0833,                0.99275,                0.96142,                  0.995,                0.85484,                0.75892,                0.52178,                  1.109,             0.00071504,             0.00071504,             0.00071504
                    110,                0.74447,                 0.5586,                 1.0591,                0.99106,                0.95956,                  0.995,                0.84741,                0.76243,                0.52855,                 1.1088,             0.00071137,             0.00071137,             0.00071137
                    111,                0.78901,                0.56573,                 1.0894,                0.99198,                0.96007,                  0.995,                0.84909,                0.78783,                 0.5244,                   1.14,             0.00070771,             0.00070771,             0.00070771
                    112,                0.77108,                0.56541,                 1.0706,                0.95554,                      1,                  0.995,                0.84008,                0.80479,                 0.5157,                 1.1579,             0.00070404,             0.00070404,             0.00070404
                    113,                0.80332,                 0.5784,                 1.0839,                0.95554,                      1,                  0.995,                0.84008,                0.80479,                 0.5157,                 1.1579,             0.00070037,             0.00070037,             0.00070037
                    114,                0.75105,                0.55573,                 1.0975,                0.96442,                      1,                  0.995,                0.84146,                 0.7678,                0.49106,                 1.1332,             0.00069671,             0.00069671,             0.00069671
                    115,                0.74337,                0.55585,                 1.0526,                0.96941,                      1,                  0.995,                 0.8506,                0.75192,                0.49048,                 1.1128,             0.00069304,             0.00069304,             0.00069304
                    116,                0.76727,                0.56368,                 1.0876,                0.96946,                      1,                  0.995,                0.85748,                0.72034,                 0.4778,                 1.0972,             0.00068938,             0.00068938,             0.00068938
                    117,                0.69429,                0.53201,                  1.017,                0.96946,                      1,                  0.995,                0.85748,                0.72034,                 0.4778,                 1.0972,             0.00068571,             0.00068571,             0.00068571
                    118,                0.67495,                0.51897,                  1.045,                 0.9674,                      1,                  0.995,                0.86538,                0.74103,                 0.4781,                  1.104,             0.00068204,             0.00068204,             0.00068204
